Título,Autor,Editorial,Fecha de publicación,Portada,Categorías,ISBN,Prestado a,Estado,Notas,Descripción
Bocchi the Rock! #01,Aki Hamazi,Ivrea Argentina,01.04.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=6720061975035904&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,978-84-10258-07-5,,Completado,,
Bocchi the Rock! #02,Aki Hamazi,Ivrea Argentina,01.06.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=4856609614594048&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,978-84-10350-04-5,,Completado,,
Bocchi the Rock! #03,Aki Hamazi,Ivrea Argentina,01.08.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=6193596359507968&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,978-84-10388-38-3,,Completado,,
Bocchi the Rock! #04,Aki Hamazi,Ivrea Argentina,01.10.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=5910648477450240&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,978-84-10475-43-4,,Completado,,
Bocchi the Rock! #05,Aki Hamazi,Ivrea Argentina,01.12.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=5164181148139520&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87500-94-8,,Completado,,
Bocchi the Rock! #06,Aki Hamazi,Ivrea Argentina,06.08.2026,https://mementoserver-hrd.appspot.com/blob/get?uid=4786221475954688&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87619-93-0,,Completado,,
Bocchi the Rock! #07,Aki Hamazi,Ivrea Argentina,01.06.2025,https://mementoserver-hrd.appspot.com/blob/get?uid=6546822254559232&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87784-90-4,,Completado,,
Bocchi the Rock! Gaiden: Las escabiadas de Kikuri Hiroi #01,Aki Hamazi; Kumichou,Ivrea Argentina,01.08.2026,https://mementoserver-hrd.appspot.com/blob/get?uid=5954640351068160&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-88450-09-9,,Completado,,
Hard to Be a God,Arkady Strugatsky; Boris Strugatsky,Gollancz,09.04.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5219248668672000&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-1-4732-0829-2,,Completado,,
Monday Starts on Saturday,Arkady Strugatsky; Boris Strugatsky,Gollancz,11.08.2016,https://mementoserver-hrd.appspot.com/blob/get?uid=6135774959632384&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-1-473-20221-4,,Completado,,
Roadside Picnic,Arkady Strugatsky; Boris Strugatsky,Gollancz,01.01.2012,https://mementoserver-hrd.appspot.com/blob/get?uid=5393421202358272&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-0-575-09313-3,,Completado,,
The Doomed City,Arkady Strugatsky; Boris Strugatsky,Gollancz,27.07.2017,https://mementoserver-hrd.appspot.com/blob/get?uid=4833258414276608&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-1-473-22228-1,,Pendiente,,
The Inhabited Island,Arkady Strugatsky; Boris Strugatsky,Gollancz,15.04.2021,https://mementoserver-hrd.appspot.com/blob/get?uid=5089500458123264&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-1-473-23244-0,,Completado,,
The Snail on the Slope,Arkady Strugatsky; Boris Strugatsky,Gollancz,17.10.2019,https://mementoserver-hrd.appspot.com/blob/get?uid=5341045888122880&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-1-473-22828-3,,En pausa,,
Silent Hill. La cima del terror psicológico,"España, RBA Coleccionables",RBA Coleccionables,25.06.2026,https://images.isbndb.com/covers/15948573485182.jpg,Videojuegos,978-84-1057-123-5,,Leyendo,,
Fumando atrás del súper con vos #01,Jinushi,Ivrea Argentina,01.12.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=4867166174445568&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87500-91-7,,Completado,,
Fumando atrás del súper con vos #02,Jinushi,Ivrea Argentina,01.01.2025,https://mementoserver-hrd.appspot.com/blob/get?uid=4682451039551488&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87547-87-5,,Completado,,
Fumando atrás del súper con vos #03,Jinushi,Ivrea Argentina,01.04.2025,https://mementoserver-hrd.appspot.com/blob/get?uid=5280184859361280&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87691-22-6,,Completado,,
Grand Blue #01,Kenji Inoue,Ivrea Argentina,01.12.2022,https://mementoserver-hrd.appspot.com/blob/get?uid=4622849241513984&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-19600-29-5,,Completado,,
Grand Blue #02,Kenji Inoue,Ivrea Argentina,01.03.2023,https://mementoserver-hrd.appspot.com/blob/get?uid=5550778402209792&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-19673-41-1,,Completado,,
